CVE;CVSS;Severity;Vector;CWE;Bulletin;Affected Product;Affected Version;Fixed In
CVE-2022-42265;5.3;MEDIUM;CVSS:3.1/AV:L/AC:L/PR:L/UI:N/S:U/C:L/I:L/A:L;CWE-190;5520;GeForce;All driver versions prior to 470.239.06;474.82, 474.89, 538.33(vGPU 16.4), 474.82(vGPU 13.10), 551.61(February 2024 release), 535.161.05(vGPU 16.4), 470.239.01(vGPU 13.10), 550.54.10(February 2024 release), 470.239.06, 535.161.07(vGPU 16.4), 470.239.06(vGPU 13.10), 550.54.14(February 2024 release)
CVE-2022-42265;5.3;MEDIUM;CVSS:3.1/AV:L/AC:L/PR:L/UI:N/S:U/C:L/I:L/A:L;CWE-190;5520;GeForce;All driver versions prior to 474.82 for support of GeForce Kepler desktop;474.82, 474.89, 538.33(vGPU 16.4), 474.82(vGPU 13.10), 551.61(February 2024 release), 535.161.05(vGPU 16.4), 470.239.01(vGPU 13.10), 550.54.10(February 2024 release), 470.239.06, 535.161.07(vGPU 16.4), 470.239.06(vGPU 13.10), 550.54.14(February 2024 release)
CVE-2022-42265;5.3;MEDIUM;CVSS:3.1/AV:L/AC:L/PR:L/UI:N/S:U/C:L/I:L/A:L;CWE-190;5520;GeForce;All driver versions prior to 474.89;474.82, 474.89, 538.33(vGPU 16.4), 474.82(vGPU 13.10), 551.61(February 2024 release), 535.161.05(vGPU 16.4), 470.239.01(vGPU 13.10), 550.54.10(February 2024 release), 470.239.06, 535.161.07(vGPU 16.4), 470.239.06(vGPU 13.10), 550.54.14(February 2024 release)
CVE-2022-42265;5.3;MEDIUM;CVSS:3.1/AV:L/AC:L/PR:L/UI:N/S:U/C:L/I:L/A:L;CWE-190;5520;Guest driver;470.223.02(All versions up to and including vGPU 13.9);474.82, 474.89, 538.33(vGPU 16.4), 474.82(vGPU 13.10), 551.61(February 2024 release), 535.161.05(vGPU 16.4), 470.239.01(vGPU 13.10), 550.54.10(February 2024 release), 470.239.06, 535.161.07(vGPU 16.4), 470.239.06(vGPU 13.10), 550.54.14(February 2024 release)
CVE-2022-42265;5.3;MEDIUM;CVSS:3.1/AV:L/AC:L/PR:L/UI:N/S:U/C:L/I:L/A:L;CWE-190;5520;Guest driver;474.64(All versions up to and including vGPU 13.9);474.82, 474.89, 538.33(vGPU 16.4), 474.82(vGPU 13.10), 551.61(February 2024 release), 535.161.05(vGPU 16.4), 470.239.01(vGPU 13.10), 550.54.10(February 2024 release), 470.239.06, 535.161.07(vGPU 16.4), 470.239.06(vGPU 13.10), 550.54.14(February 2024 release)
CVE-2022-42265;5.3;MEDIUM;CVSS:3.1/AV:L/AC:L/PR:L/UI:N/S:U/C:L/I:L/A:L;CWE-190;5520;Guest driver;535.154.05(All versions up to and including vGPU 16.3);474.82, 474.89, 538.33(vGPU 16.4), 474.82(vGPU 13.10), 551.61(February 2024 release), 535.161.05(vGPU 16.4), 470.239.01(vGPU 13.10), 550.54.10(February 2024 release), 470.239.06, 535.161.07(vGPU 16.4), 470.239.06(vGPU 13.10), 550.54.14(February 2024 release)
CVE-2022-42265;5.3;MEDIUM;CVSS:3.1/AV:L/AC:L/PR:L/UI:N/S:U/C:L/I:L/A:L;CWE-190;5520;Guest driver;538.15(All versions up to and including vGPU 16.3);474.82, 474.89, 538.33(vGPU 16.4), 474.82(vGPU 13.10), 551.61(February 2024 release), 535.161.05(vGPU 16.4), 470.239.01(vGPU 13.10), 550.54.10(February 2024 release), 470.239.06, 535.161.07(vGPU 16.4), 470.239.06(vGPU 13.10), 550.54.14(February 2024 release)
CVE-2022-42265;5.3;MEDIUM;CVSS:3.1/AV:L/AC:L/PR:L/UI:N/S:U/C:L/I:L/A:L;CWE-190;5520;Guest driver;545.37.02(All versions up to and including the January 2024 release);474.82, 474.89, 538.33(vGPU 16.4), 474.82(vGPU 13.10), 551.61(February 2024 release), 535.161.05(vGPU 16.4), 470.239.01(vGPU 13.10), 550.54.10(February 2024 release), 470.239.06, 535.161.07(vGPU 16.4), 470.239.06(vGPU 13.10), 550.54.14(February 2024 release)
CVE-2022-42265;5.3;MEDIUM;CVSS:3.1/AV:L/AC:L/PR:L/UI:N/S:U/C:L/I:L/A:L;CWE-190;5520;Guest driver;546.65(All versions up to and including the January 2024 release);474.82, 474.89, 538.33(vGPU 16.4), 474.82(vGPU 13.10), 551.61(February 2024 release), 535.161.05(vGPU 16.4), 470.239.01(vGPU 13.10), 550.54.10(February 2024 release), 470.239.06, 535.161.07(vGPU 16.4), 470.239.06(vGPU 13.10), 550.54.14(February 2024 release)
CVE-2022-42265;5.3;MEDIUM;CVSS:3.1/AV:L/AC:L/PR:L/UI:N/S:U/C:L/I:L/A:L;CWE-190;5520;NVIDIA RTX, Quadro, NVS;All driver versions prior to 470.239.06;474.82, 474.89, 538.33(vGPU 16.4), 474.82(vGPU 13.10), 551.61(February 2024 release), 535.161.05(vGPU 16.4), 470.239.01(vGPU 13.10), 550.54.10(February 2024 release), 470.239.06, 535.161.07(vGPU 16.4), 470.239.06(vGPU 13.10), 550.54.14(February 2024 release)
