CVE;CVSS;Severity;Vector;CWE;Bulletin;Affected Product;Affected Version;Fixed In
CVE-2025-23350;9.0;CRITICAL;CVSS:3.1/AV:A/AC:L/PR:L/UI:N/S:C/C:H/I:H/A:H;CWE-787;5699;BlueField GA;All versions prior to 46.3008;43.8002 or newer, 39.8002 or newer, 46.3008 or newer, 35.8002 or newer
CVE-2025-23350;9.0;CRITICAL;CVSS:3.1/AV:A/AC:L/PR:L/UI:N/S:C/C:H/I:H/A:H;CWE-787;5699;BlueField LTS22;All versions prior to 35.8002;43.8002 or newer, 39.8002 or newer, 46.3008 or newer, 35.8002 or newer
CVE-2025-23350;9.0;CRITICAL;CVSS:3.1/AV:A/AC:L/PR:L/UI:N/S:C/C:H/I:H/A:H;CWE-787;5699;BlueField LTS23;All versions prior to 39.8002;43.8002 or newer, 39.8002 or newer, 46.3008 or newer, 35.8002 or newer
CVE-2025-23350;9.0;CRITICAL;CVSS:3.1/AV:A/AC:L/PR:L/UI:N/S:C/C:H/I:H/A:H;CWE-787;5699;BlueField LTS24;All versions prior to 43.8002;43.8002 or newer, 39.8002 or newer, 46.3008 or newer, 35.8002 or newer
CVE-2025-23350;9.0;CRITICAL;CVSS:3.1/AV:A/AC:L/PR:L/UI:N/S:C/C:H/I:H/A:H;CWE-787;5699;ConnectX GA;All versions prior to 46.3008;43.8002 or newer, 39.8002 or newer, 46.3008 or newer, 35.8002 or newer
CVE-2025-23350;9.0;CRITICAL;CVSS:3.1/AV:A/AC:L/PR:L/UI:N/S:C/C:H/I:H/A:H;CWE-787;5699;ConnectX LTS22;All versions prior to 35.8002;43.8002 or newer, 39.8002 or newer, 46.3008 or newer, 35.8002 or newer
CVE-2025-23350;9.0;CRITICAL;CVSS:3.1/AV:A/AC:L/PR:L/UI:N/S:C/C:H/I:H/A:H;CWE-787;5699;ConnectX LTS23;All versions prior to 39.8002;43.8002 or newer, 39.8002 or newer, 46.3008 or newer, 35.8002 or newer
CVE-2025-23350;9.0;CRITICAL;CVSS:3.1/AV:A/AC:L/PR:L/UI:N/S:C/C:H/I:H/A:H;CWE-787;5699;ConnectX LTS24;All versions prior to 43.8002;43.8002 or newer, 39.8002 or newer, 46.3008 or newer, 35.8002 or newer
CVE-2025-23351;9.0;CRITICAL;CVSS:3.1/AV:A/AC:L/PR:L/UI:N/S:C/C:H/I:H/A:H;CWE-787;5699;BlueField GA;All versions prior to 46.3008;32.1908, 43.8002 or newer, 39.8002 or newer, 46.3008 or newer, 28.4702, 35.8002 or newer
CVE-2025-23351;9.0;CRITICAL;CVSS:3.1/AV:A/AC:L/PR:L/UI:N/S:C/C:H/I:H/A:H;CWE-787;5699;BlueField LTS22;All versions prior to 35.8002;32.1908, 43.8002 or newer, 39.8002 or newer, 46.3008 or newer, 28.4702, 35.8002 or newer
CVE-2025-23351;9.0;CRITICAL;CVSS:3.1/AV:A/AC:L/PR:L/UI:N/S:C/C:H/I:H/A:H;CWE-787;5699;BlueField LTS23;All versions prior to 39.8002;32.1908, 43.8002 or newer, 39.8002 or newer, 46.3008 or newer, 28.4702, 35.8002 or newer
CVE-2025-23351;9.0;CRITICAL;CVSS:3.1/AV:A/AC:L/PR:L/UI:N/S:C/C:H/I:H/A:H;CWE-787;5699;BlueField LTS24;All versions prior to 43.8002;32.1908, 43.8002 or newer, 39.8002 or newer, 46.3008 or newer, 28.4702, 35.8002 or newer
CVE-2025-23351;9.0;CRITICAL;CVSS:3.1/AV:A/AC:L/PR:L/UI:N/S:C/C:H/I:H/A:H;CWE-787;5699;ConnectX GA;All versions prior to 46.3008;32.1908, 43.8002 or newer, 39.8002 or newer, 46.3008 or newer, 28.4702, 35.8002 or newer
CVE-2025-23351;9.0;CRITICAL;CVSS:3.1/AV:A/AC:L/PR:L/UI:N/S:C/C:H/I:H/A:H;CWE-787;5699;ConnectX LTS22;All versions prior to 35.8002;32.1908, 43.8002 or newer, 39.8002 or newer, 46.3008 or newer, 28.4702, 35.8002 or newer
CVE-2025-23351;9.0;CRITICAL;CVSS:3.1/AV:A/AC:L/PR:L/UI:N/S:C/C:H/I:H/A:H;CWE-787;5699;ConnectX LTS23;All versions prior to 39.8002;32.1908, 43.8002 or newer, 39.8002 or newer, 46.3008 or newer, 28.4702, 35.8002 or newer
CVE-2025-23351;9.0;CRITICAL;CVSS:3.1/AV:A/AC:L/PR:L/UI:N/S:C/C:H/I:H/A:H;CWE-787;5699;ConnectX LTS24;All versions prior to 43.8002;32.1908, 43.8002 or newer, 39.8002 or newer, 46.3008 or newer, 28.4702, 35.8002 or newer
CVE-2025-23351;9.0;CRITICAL;CVSS:3.1/AV:A/AC:L/PR:L/UI:N/S:C/C:H/I:H/A:H;CWE-787;5699;ConnectX-4;All versions prior to 28.4702;32.1908, 43.8002 or newer, 39.8002 or newer, 46.3008 or newer, 28.4702, 35.8002 or newer
CVE-2025-23351;9.0;CRITICAL;CVSS:3.1/AV:A/AC:L/PR:L/UI:N/S:C/C:H/I:H/A:H;CWE-787;5699;ConnectX-4 LX;All versions prior to 32.1908;32.1908, 43.8002 or newer, 39.8002 or newer, 46.3008 or newer, 28.4702, 35.8002 or newer
CVE-2025-33179;8;HIGH;CVSS:3.1/AV:A/AC:L/PR:L/UI:N/S:U/C:H/I:H/A:H;CWE-266;5722;Cumulus Linux GA;All versions prior to 5.14 (5.13.x, 5.12.x, and older GA versions);5.14, 5.11.4, 5.9.4, 1.3.1- 25.02.244, 25.02.4282, 25.02.5030
CVE-2025-33179;8;HIGH;CVSS:3.1/AV:A/AC:L/PR:L/UI:N/S:U/C:H/I:H/A:H;CWE-266;5722;Cumulus Linux LTS;All versions prior to 5.11.4;5.14, 5.11.4, 5.9.4, 1.3.1- 25.02.244, 25.02.4282, 25.02.5030
CVE-2025-33179;8;HIGH;CVSS:3.1/AV:A/AC:L/PR:L/UI:N/S:U/C:H/I:H/A:H;CWE-266;5722;Cumulus Linux LTS;All versions prior to 5.9.4;5.14, 5.11.4, 5.9.4, 1.3.1- 25.02.244, 25.02.4282, 25.02.5030
