CVE;CVSS;Severity;Vector;CWE;Bulletin;Affected Product;Affected Version;Fixed In
CVE-2022-31611;6.8;MEDIUM;CVSS:3.1/AV:L/AC:L/PR:L/UI:R/S:U/C:L/I:H/A:H;CWE-427;5384;GeForce Experience;All versions prior to 3.27.0.112;3.27.0.112
CVE-2022-34671;8.5;HIGH;CVSS:3.1/AV:N/AC:H/PR:L/UI:N/S:C/C:H/I:H/A:H;CWE-787;5468;GeForce;All driver versions prior to 474.44;536.23, 474.44, Available the week of June 29, 2023, 536.25, 529.11, 454.23, 529.11(vGPU 15.3), 474.44(vGPU 13.8), 454.23(vGPU 11.13), 536.25(June 2023 release)
CVE-2022-34671;8.5;HIGH;CVSS:3.1/AV:N/AC:H/PR:L/UI:N/S:C/C:H/I:H/A:H;CWE-787;5468;GeForce;All driver versions prior to 536.23;536.23, 474.44, Available the week of June 29, 2023, 536.25, 529.11, 454.23, 529.11(vGPU 15.3), 474.44(vGPU 13.8), 454.23(vGPU 11.13), 536.25(June 2023 release)
CVE-2022-34671;8.5;HIGH;CVSS:3.1/AV:N/AC:H/PR:L/UI:N/S:C/C:H/I:H/A:H;CWE-787;5468;GeForce;All drivers versions prior to 474.44 for support of GeForce Kepler desktop;536.23, 474.44, Available the week of June 29, 2023, 536.25, 529.11, 454.23, 529.11(vGPU 15.3), 474.44(vGPU 13.8), 454.23(vGPU 11.13), 536.25(June 2023 release)
CVE-2022-34671;8.5;HIGH;CVSS:3.1/AV:N/AC:H/PR:L/UI:N/S:C/C:H/I:H/A:H;CWE-787;5468;NVIDIA Cloud Gaming (guest driver);All versions prior to 531.79(All versions prior to and including May 2023 release	);536.23, 474.44, Available the week of June 29, 2023, 536.25, 529.11, 454.23, 529.11(vGPU 15.3), 474.44(vGPU 13.8), 454.23(vGPU 11.13), 536.25(June 2023 release)
CVE-2022-34671;8.5;HIGH;CVSS:3.1/AV:N/AC:H/PR:L/UI:N/S:C/C:H/I:H/A:H;CWE-787;5468;NVIDIA RTX, Quadro, NVS;All driver versions prior to 474.44;536.23, 474.44, Available the week of June 29, 2023, 536.25, 529.11, 454.23, 529.11(vGPU 15.3), 474.44(vGPU 13.8), 454.23(vGPU 11.13), 536.25(June 2023 release)
CVE-2022-34671;8.5;HIGH;CVSS:3.1/AV:N/AC:H/PR:L/UI:N/S:C/C:H/I:H/A:H;CWE-787;5468;NVIDIA RTX, Quadro, NVS;All driver versions prior to 529.11;536.23, 474.44, Available the week of June 29, 2023, 536.25, 529.11, 454.23, 529.11(vGPU 15.3), 474.44(vGPU 13.8), 454.23(vGPU 11.13), 536.25(June 2023 release)
CVE-2022-34671;8.5;HIGH;CVSS:3.1/AV:N/AC:H/PR:L/UI:N/S:C/C:H/I:H/A:H;CWE-787;5468;NVIDIA RTX, Quadro, NVS;All driver versions prior to 536.25;536.23, 474.44, Available the week of June 29, 2023, 536.25, 529.11, 454.23, 529.11(vGPU 15.3), 474.44(vGPU 13.8), 454.23(vGPU 11.13), 536.25(June 2023 release)
CVE-2022-34671;8.5;HIGH;CVSS:3.1/AV:N/AC:H/PR:L/UI:N/S:C/C:H/I:H/A:H;CWE-787;5468;Studio;All driver versions;536.23, 474.44, Available the week of June 29, 2023, 536.25, 529.11, 454.23, 529.11(vGPU 15.3), 474.44(vGPU 13.8), 454.23(vGPU 11.13), 536.25(June 2023 release)
CVE-2022-34671;8.5;HIGH;CVSS:3.1/AV:N/AC:H/PR:L/UI:N/S:C/C:H/I:H/A:H;CWE-787;5468;Tesla;All driver versions prior to 454.23;536.23, 474.44, Available the week of June 29, 2023, 536.25, 529.11, 454.23, 529.11(vGPU 15.3), 474.44(vGPU 13.8), 454.23(vGPU 11.13), 536.25(June 2023 release)
