CVE;CVSS;Severity;Vector;CWE;Bulletin;Affected Product;Affected Version;Fixed In
CVE-2024-0112;7.5;HIGH;CVSS:3.1/AV:L/AC:H/PR:H/UI:N/S:C/C:H/I:H/A:H;CWE-20;5611;IGX Orin;All versions prior to IGX 1.1;36.4.3, 35.6, IGX 1.1
CVE-2024-0112;7.5;HIGH;CVSS:3.1/AV:L/AC:H/PR:H/UI:N/S:C/C:H/I:H/A:H;CWE-20;5611;Jeton AGX Orin series (including Jetson Orin NX series, Jetson Orin Nano series);All versions prior to 35.6;36.4.3, 35.6, IGX 1.1
CVE-2024-0112;7.5;HIGH;CVSS:3.1/AV:L/AC:H/PR:H/UI:N/S:C/C:H/I:H/A:H;CWE-20;5611;Jeton AGX Orin series (including Jetson Orin NX series, Jetson Orin Nano series);All versions prior to 36.4;36.4.3, 35.6, IGX 1.1
CVE-2024-0114;8.1;HIGH;CVSS:3.1/AV:L/AC:L/PR:H/UI:N/S:C/C:L/I:H/A:H;CWE-1244;5561;Hopper HGX 8-GPU;HGX-22.10-1-rc57 (1.3.0/1.3.1);1.6.0 and later
CVE-2024-0114;8.1;HIGH;CVSS:3.1/AV:L/AC:L/PR:H/UI:N/S:C/C:L/I:H/A:H;CWE-1244;5561;Hopper HGX 8-GPU;HGX-22.10-1-rc59 (1.3.2);1.6.0 and later
CVE-2024-0114;8.1;HIGH;CVSS:3.1/AV:L/AC:L/PR:H/UI:N/S:C/C:L/I:H/A:H;CWE-1244;5561;Hopper HGX 8-GPU;HGX-22.10-1-rc63 (1.4.0);1.6.0 and later
CVE-2024-0114;8.1;HIGH;CVSS:3.1/AV:L/AC:L/PR:H/UI:N/S:C/C:L/I:H/A:H;CWE-1244;5561;Hopper HGX 8-GPU;HGX-22.10-1-rc67 (1.5.0);1.6.0 and later
CVE-2024-0131;4.4;MEDIUM;CVSS:3.1/AV:L/AC:L/PR:H/UI:N/S:U/C:N/I:N/A:H;CWE-805;5614;GeForce;All driver versions prior to 535.230.02;550.144.02(vGPU 17.5), 535.230.02(vGPU 16.9), 553.56(vGPU 17.5), 572.16, 553.62, 539.19, 572.13, 570.86.16, 550.144.03, 535.230.02, 570.86.15, 550.144.03(vGPU 17.5), 553.62(vGPU 17.5), 539.19(vGPU 16.9)
CVE-2024-0131;4.4;MEDIUM;CVSS:3.1/AV:L/AC:L/PR:H/UI:N/S:U/C:N/I:N/A:H;CWE-805;5614;GeForce;All driver versions prior to 550.144.03;550.144.02(vGPU 17.5), 535.230.02(vGPU 16.9), 553.56(vGPU 17.5), 572.16, 553.62, 539.19, 572.13, 570.86.16, 550.144.03, 535.230.02, 570.86.15, 550.144.03(vGPU 17.5), 553.62(vGPU 17.5), 539.19(vGPU 16.9)
CVE-2024-0131;4.4;MEDIUM;CVSS:3.1/AV:L/AC:L/PR:H/UI:N/S:U/C:N/I:N/A:H;CWE-805;5614;GeForce;All driver versions prior to 570.86.16;550.144.02(vGPU 17.5), 535.230.02(vGPU 16.9), 553.56(vGPU 17.5), 572.16, 553.62, 539.19, 572.13, 570.86.16, 550.144.03, 535.230.02, 570.86.15, 550.144.03(vGPU 17.5), 553.62(vGPU 17.5), 539.19(vGPU 16.9)
CVE-2024-0131;4.4;MEDIUM;CVSS:3.1/AV:L/AC:L/PR:H/UI:N/S:U/C:N/I:N/A:H;CWE-805;5614;GeForce;All driver versions prior to 572.16;550.144.02(vGPU 17.5), 535.230.02(vGPU 16.9), 553.56(vGPU 17.5), 572.16, 553.62, 539.19, 572.13, 570.86.16, 550.144.03, 535.230.02, 570.86.15, 550.144.03(vGPU 17.5), 553.62(vGPU 17.5), 539.19(vGPU 16.9)
CVE-2024-0131;4.4;MEDIUM;CVSS:3.1/AV:L/AC:L/PR:H/UI:N/S:U/C:N/I:N/A:H;CWE-805;5614;Guest driver;535.216.01(All versions up to and including vGPU 16.8);550.144.02(vGPU 17.5), 535.230.02(vGPU 16.9), 553.56(vGPU 17.5), 572.16, 553.62, 539.19, 572.13, 570.86.16, 550.144.03, 535.230.02, 570.86.15, 550.144.03(vGPU 17.5), 553.62(vGPU 17.5), 539.19(vGPU 16.9)
CVE-2024-0131;4.4;MEDIUM;CVSS:3.1/AV:L/AC:L/PR:H/UI:N/S:U/C:N/I:N/A:H;CWE-805;5614;Guest driver;538.95(All versions up to and including vGPU 16.8);550.144.02(vGPU 17.5), 535.230.02(vGPU 16.9), 553.56(vGPU 17.5), 572.16, 553.62, 539.19, 572.13, 570.86.16, 550.144.03, 535.230.02, 570.86.15, 550.144.03(vGPU 17.5), 553.62(vGPU 17.5), 539.19(vGPU 16.9)
CVE-2024-0131;4.4;MEDIUM;CVSS:3.1/AV:L/AC:L/PR:H/UI:N/S:U/C:N/I:N/A:H;CWE-805;5614;Guest driver;550.127.05(All versions up to and including vGPU 17.4);550.144.02(vGPU 17.5), 535.230.02(vGPU 16.9), 553.56(vGPU 17.5), 572.16, 553.62, 539.19, 572.13, 570.86.16, 550.144.03, 535.230.02, 570.86.15, 550.144.03(vGPU 17.5), 553.62(vGPU 17.5), 539.19(vGPU 16.9)
CVE-2024-0131;4.4;MEDIUM;CVSS:3.1/AV:L/AC:L/PR:H/UI:N/S:U/C:N/I:N/A:H;CWE-805;5614;Guest driver;553.24(All versions up to and including vGPU 17.4);550.144.02(vGPU 17.5), 535.230.02(vGPU 16.9), 553.56(vGPU 17.5), 572.16, 553.62, 539.19, 572.13, 570.86.16, 550.144.03, 535.230.02, 570.86.15, 550.144.03(vGPU 17.5), 553.62(vGPU 17.5), 539.19(vGPU 16.9)
CVE-2024-0131;4.4;MEDIUM;CVSS:3.1/AV:L/AC:L/PR:H/UI:N/S:U/C:N/I:N/A:H;CWE-805;5614;NVIDIA RTX, Quadro, NVS;All driver versions prior to 535.230.02;550.144.02(vGPU 17.5), 535.230.02(vGPU 16.9), 553.56(vGPU 17.5), 572.16, 553.62, 539.19, 572.13, 570.86.16, 550.144.03, 535.230.02, 570.86.15, 550.144.03(vGPU 17.5), 553.62(vGPU 17.5), 539.19(vGPU 16.9)
CVE-2024-0131;4.4;MEDIUM;CVSS:3.1/AV:L/AC:L/PR:H/UI:N/S:U/C:N/I:N/A:H;CWE-805;5614;NVIDIA RTX, Quadro, NVS;All driver versions prior to 539.19;550.144.02(vGPU 17.5), 535.230.02(vGPU 16.9), 553.56(vGPU 17.5), 572.16, 553.62, 539.19, 572.13, 570.86.16, 550.144.03, 535.230.02, 570.86.15, 550.144.03(vGPU 17.5), 553.62(vGPU 17.5), 539.19(vGPU 16.9)
